Name,Date,Open,High,Low,Close,Volume
AUD,19930104,1.0855,1.0855,1.0855,1.0855,0
AUD,19930105,1.0880,1.0880,1.0880,1.0880,0
AUD,19930106,1.0797,1.0797,1.0797,1.0797,0
AUD,19930107,1.0623,1.0623,1.0623,1.0623,0
AUD,19930108,1.0665,1.0665,1.0665,1.0665,0
AUD,19930111,1.0751,1.0751,1.0751,1.0751,0
AUD,19930112,1.0698,1.0698,1.0698,1.0698,0
AUD,19930113,1.0714,1.0714,1.0714,1.0714,0
AUD,19930114,1.0743,1.0743,1.0743,1.0743,0
AUD,19930115,1.0681,1.0681,1.0681,1.0681,0
AUD,19930118,1.0727,1.0727,1.0727,1.0727,0
AUD,19930119,1.0772,1.0772,1.0772,1.0772,0
AUD,19930120,1.0702,1.0702,1.0702,1.0702,0
AUD,19930121,1.0647,1.0647,1.0647,1.0647,0
AUD,19930122,1.0612,1.0612,1.0612,1.0612,0
AUD,19930125,1.0705,1.0705,1.0705,1.0705,0
AUD,19930126,1.0614,1.0614,1.0614,1.0614,0
AUD,19930127,1.0649,1.0649,1.0649,1.0649,0
AUD,20020717,2.2771,2.2771,2.2771,2.2771,0
AUD,20020718,2.2511,2.2511,2.2511,2.2511,0
AUD,20020719,2.2469,2.2469,2.2469,2.2469,0
AUD,20020722,2.2237,2.2237,2.2237,2.2237,0
AUD,20020723,2.2103,2.2103,2.2103,2.2103,0
AUD,20020724,2.2102,2.2102,2.2102,2.2102,0
AUD,20020725,2.2061,2.2061,2.2061,2.2061,0
AUD,20020726,2.2107,2.2107,2.2107,2.2107,0
AUD,20020729,2.2137,2.2137,2.2137,2.2137,0
AUD,20020730,2.2553,2.2553,2.2553,2.2553,0
AUD,20020731,2.2752,2.2752,2.2752,2.2752,0
AUD,20020801,2.2498,2.2498,2.2498,2.2498,0
AUD,20020802,2.2763,2.2763,2.2763,2.2763,0
AUD,20020805,2.2472,2.2472,2.2472,2.2472,0
AUD,20020806,2.1959,2.1959,2.1959,2.1959,0
AUD,20020807,2.2378,2.2378,2.2378,2.2378,0
AUD,20020808,2.2225,2.2225,2.2225,2.2225,0
AUD,20020809,2.2387,2.2387,2.2387,2.2387,0
